Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
user user proses buang islam boleh main paksa tapi harus dilakukan dengan kesadaran sendiri,1,0,0,1,1,0,0,0,0,0,1,0
ahok harus tamat penjarakan ahok penjarakan ahok,1,0,1,0,0,0,0,0,1,0,0,1
terus hembuskan grup grup pendukung prabowo,1,0,0,1,0,1,0,0,0,0,1,0
user tolonglah ajak buzzer bapak untuk jadi lebih pinter bukan anggar jago menghina orang ngga suka pake lapor polisi,1,0,1,0,0,0,0,0,1,1,0,0
belum dijelaskan haji adalah penipuan ibrahim mungkin dikubur kabah anda biarkan rakyat ditipu lukman,1,0,0,1,1,0,0,0,0,0,1,0
user bubarkan siapa orangorangmu,1,0,1,0,0,0,0,0,1,1,0,0
user user sampean yakl impor pswat terbg impor garam kebayang indonesia isinya garam semua garam jgdiimpor dasar otak ente ampu kaki,1,1,1,0,0,0,0,0,1,1,0,0
marked toread catatan harian menantu rosi simamora,0,0,0,0,0,0,0,0,0,0,0,0
user user yattp waspadaantek pintr kamuflase,1,0,0,1,0,1,0,0,0,0,1,0
jokowi terpilih dilantik sebagai presiden pada oktober,0,0,0,0,0,0,0,0,0,0,0,0
user sudah seharusnya pejabat pemerintahan gubernur sampai tingkat mentri selayaknya dipotong gajihnya untk bayar pajak bayar zakat sisanya untk fakir miskin untk menutupi utang,0,0,0,0,0,0,0,0,0,0,0,0
apapun masalah muara tanggung jawab presiden solusi dari solusi terbaik turunkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
presiden user meminta agar sistem perizinan berusaha terintegrasi secara online atau online single submission bisa segera diterapkan baik kementerian tingkat provinsi tingkat kabupaten tingkat kota user,0,0,0,0,0,0,0,0,0,0,0,0
user user sekarang melecehkan gerakan sholat sudah legal masnnitu pejabat kenalkan olahraga aneh sebelumnya kemana,0,0,0,0,0,0,0,0,0,0,0,0
user captain saya ganteng dari garam menjawab user saya sepertinya wkwkw,0,0,0,0,0,0,0,0,0,0,0,0
user foto dong,0,1,0,0,0,0,0,0,0,0,0,0
user jika tokoh agama lalu berpolitik praktis untuk jabatan publik dengan menggunakan identitas keagamaan lingkungan agama budha ibaratkan yang mengaku biksu tetapi makan daging minum miras bahkan berkeluarga,1,0,0,1,1,0,0,0,0,0,1,0
user user user bukan milik pastinyaga sampe otaknya,1,1,0,1,0,0,0,0,1,0,1,0
user dukung penuh jelas gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
user user user user penakar liberal sekuler syiah intoleran ekstrimis,0,0,0,0,0,0,0,0,0,0,0,0
namaku alana memiliki permasalahan yang rumit menyadari bahwa seseorang pasti pernah berada titik terendah disinilah berada dititik terendah yang kelabu novelalana watrpad shintadwi,0,0,0,0,0,0,0,0,0,0,0,0
user punya punya dower punya rapper punya milik semua tapi cukup yang punya hati,0,0,0,0,0,0,0,0,0,0,0,0
juga ngimpi sentilin biji ahok pcetar pcetar langsung kejang ngadu makanye sunat dulu ngomong almaidah,1,1,1,0,0,0,0,0,1,1,0,0
user bulan,0,1,0,0,0,0,0,0,0,0,0,0
kalau kita faham hari kita faham bahawa betapa tingginya ilmu ulama dulu sampaikan kita faham ahmad ridauddin,0,0,0,0,0,0,0,0,0,0,0,0
user wkwkwkwk,1,1,1,0,0,0,0,0,1,1,0,0
user user user user user user user user user user user user user user user aseng rebut kekayaan indonesia xfxfxxxf,0,0,0,0,0,0,0,0,0,0,0,0
user user user bodat piaraan cina loleng,1,1,1,0,0,1,0,0,0,1,0,0
user simpatisannya juga proxy cina pasti sangat membenci panglimanya wajar seekali merek,1,0,0,1,0,1,0,0,0,0,1,0
user user user user user user harus ganti biar ulama ulama kita turun jalan untuk demo suarakan keadilannsalut buat user semoga demokrat partai islam lainnya ikut merapat,0,0,0,0,0,0,0,0,0,0,0,0
user kata kata guhe,0,1,0,0,0,0,0,0,0,0,0,0
user user user meja saya berwarna merah putih boleh ditaroin asbak rokok dong,0,0,0,0,0,0,0,0,0,0,0,0
user user user hindu mengenal hari persidangan hindu percaya pada hukum karma dimana tuhan adalah programmer agung memastikan semua perbuatan akan mendatangkan hasil sepadan hasilnya bukan dibakar neraka bentuk,0,0,0,0,0,0,0,0,0,0,0,0
user kalau thailand cegan dong oppa,0,1,0,0,0,0,0,0,0,0,0,0
user promosi,1,1,1,0,0,0,0,0,1,1,0,0
sulit meyakinkan bahwa apel lebih manis dari pisang,0,0,0,0,0,0,0,0,0,0,0,0
daftar lengkap proyek yang dicoret jokowi dari,0,0,0,0,0,0,0,0,0,0,0,0
senang,0,0,0,0,0,0,0,0,0,0,0,0
user iyain lamalama kayak orang ngobrol sama hyung,0,1,0,0,0,0,0,0,0,0,0,0
user bukan gerombolan malah lebih sering menghina presiden mestinya duluan diproses,1,0,1,0,0,0,0,0,1,1,0,0
saya suka video user,0,0,0,0,0,0,0,0,0,0,0,0
cont kelamin wanita terdengar memenuhi lokasi rasanya setelah berubah wujud dirinya jadi lebih menjiwai hati mengutuk para pemburu atau orangorang yang tibatiba saja mengejarnya bersama dengan timnya yang bertugas,0,0,0,0,0,0,0,0,0,0,0,0
user pers seharusnya dapat mengkritisi pernyataan menteri agama agar bangsa tidak terus dibohongi,0,0,0,0,0,0,0,0,0,0,0,0
user liat wkwk,0,1,0,0,0,0,0,0,0,0,0,0
sesembak depan camp jual zuzu zapi murninmaw zuzu zapi kambink quda zebra murninpasti tutup idung minumnya,0,0,0,0,0,0,0,0,0,0,0,0
user pawanf pawangnya monyetnya,0,1,0,0,0,0,0,0,0,0,0,0
user korban cowok pinter cakep bikin baper,0,1,0,0,0,0,0,0,0,0,0,0
kapan kita mulai lengserkan jokowi frop lebih parah frop user,1,0,1,0,0,0,0,0,1,0,0,1
user user,1,1,1,0,0,0,1,0,0,1,0,0
nyesel upfoll fers hilang malah diaudit makin turun sebelumnya,0,1,0,0,0,0,0,0,0,0,0,0
user user user user user baca mulai dari judulnye nyet biar jadi domba,1,1,1,0,0,0,0,0,1,1,0,0
pilkada,0,0,0,0,0,0,0,0,0,0,0,0
usai dibebaskan pengadilan alfian tanjung langsung ditangkap lagi dimana keadilan,1,0,1,0,0,0,0,0,1,1,0,0
user kaab alasyraf salah satu tokoh yahudi sangat benci terhdap dakwah nabi bgmana bisa hafal alquran,0,0,0,0,0,0,0,0,0,0,0,0
user masalah segregation memang dari zaman dahulu since zaman nabi muhammad memang boleh ubah sikap manusia untuk mengamalkan budaya diskriminasi malaysia actually cukup aman pergaduhan memang tapi seteruk luar,0,0,0,0,0,0,0,0,0,0,0,0
user user fitnah makanan akun,1,1,1,0,0,0,0,0,1,1,0,0
user anak sllu bawa agama kalo bicara politik harus wawasan wwsn dangkal kalo sosmed bcranya sektariannizrm pemecah belah masalah umat beragam suku agama bicara para kecebong makar wong panglima gatot ajah kaitanny,1,1,1,0,0,0,0,0,1,1,0,0
user user sudah biasa dulu kiai dahlan dituduh kyai,0,0,0,0,0,0,0,0,0,0,0,0
banyak yaaa festival budaya bulan iniii nabuuunggg,0,0,0,0,0,0,0,0,0,0,0,0
user lalu pada waktu quran jadikan alat bukti oleh kapolri kasus surabaya,0,0,0,0,0,0,0,0,0,0,0,0
semoga allah segera budha teroris yang telah menzalimi kaum muslim rohingya,1,0,0,1,1,0,0,0,0,0,1,0
user lohhh dilakuin oppa oppa koriya tapi banyak bilang oppa koriya tapi masa ikut militeran tahun httxexxa,0,1,0,0,0,0,0,0,0,0,0,0
user karena pede juga kayaknya buktinya kisahkisah profesor yahudi masuk islam karena takjub setelah meneliti masih suka seliweran grup xfxfxx,0,0,0,0,0,0,0,0,0,0,0,0
meriah acara temu masyarakat indonesia gubernur user kjri istanbul khususnya para pelajar bapak gubernur berpesan agar membangun jaringan dahulu sblm kembali indonesia user,0,0,0,0,0,0,0,0,0,0,0,0
user user zaman antekantek merajalela mengganas seperti masa sekarang,1,0,1,0,0,0,0,0,1,1,0,0
user csis pembohong jangan harp menang cuih,1,0,1,0,0,0,0,0,1,1,0,0
jangankan soal soal ngambil kursi cafe manjaaaaa ketulungan,0,0,0,0,0,0,0,0,0,0,0,0
dulu selalu tweet alhamdulillah sebab ingatkan sendawa kenyang hahhahahaha sori tapi sekarang tahu right back ececeh,0,0,0,0,0,0,0,0,0,0,0,0
mundur dari sekarang gatot bersaing sehat jokowi,1,0,1,0,0,0,0,0,1,1,0,0
sebetulnya teriak gantipresiden presiden militer opsi lain capres sipil kita pengalaman mantan presiden militer menghasilkan krisis moneter mega proyek mangkrak jadi salah,0,0,0,0,0,0,0,0,0,0,0,0
user lagiiiii user gitu partai sejati,1,1,0,1,0,0,0,0,1,0,1,0
user namanya juga cari nafkah bangsad,1,1,1,0,0,0,0,0,1,1,0,0
user user setuju pakek banget sekjen partai nusantara,1,1,0,1,0,0,0,0,1,0,1,0
makanan murah allah perlis paling yahudi penah makan hengget sobsssss sukanyaaaa xfxfxxxfxfxxd,0,0,0,0,0,0,0,0,0,0,0,0
user misalnya tradisi semit yahudi namanya mitzvah umur suda dihitung dewasa jika ukurannya haid banyak gadis suda haid matang untuk kawinnntradisi hejaz gimana kawin usia berapa,0,0,0,0,0,0,0,0,0,0,0,0
bener macam mantan,1,1,1,0,0,0,0,0,1,1,0,0
user keturunan arab justru berjuang nkrisemisal raden saleh pahlawan nasionalhabib abubakar aktif pergerakan islamar baswedan kakek anies baswedan anggota badan penyelidik usaha persiapan kemerdekaan marie muhammad,0,0,0,0,0,0,0,0,0,0,0,0
sekjen keknya bagian dari saracen,1,0,1,0,0,0,0,0,1,1,0,0
saya suka video user ahok bebas anies makin terpuruk terancam gagal jadi gubernur jika sandi resmi,1,0,1,0,0,0,0,0,1,1,0,0
user sudah merusak nusantara dari jaman majapahit terus berlangsung hingga kini terlebih setelah diwadahi oleh killafah,1,1,0,1,0,0,0,0,1,0,1,0
user user bejad pokonya,0,1,0,0,0,0,0,0,0,0,0,0
user user user user jiaaahh kepikiran cuma karna warna kalo sempet mikir gitu kebangetan,0,1,0,0,0,0,0,0,0,0,0,0
user user user user kalo maruf ngomong pada belaga pada belaga pilon masih nyundul,1,1,0,1,0,0,1,0,0,0,1,0
tsrm inilah juga hakim yang menyebabkan mahkamah persekutuan memutuskan penukaran agama tiga anak guru tadika indira gandhi muhammad ridhuan abdullah hampir tahun lalu daripada hindu kepada islam adalah terbatal tidak sisi undangun,0,0,0,0,0,0,0,0,0,0,0,0
yakin rakyat suruh mmilih harus bubarkan psti bubarkan ssuai kntitusi,1,0,0,1,0,0,0,0,1,0,1,0
user tambah punya mata baru,0,0,0,0,0,0,0,0,0,0,0,0
user nyamuk,0,1,0,0,0,0,0,0,0,0,0,0
user user replyan dibalas mulu dasar,1,1,1,0,0,0,0,0,1,1,0,0
budaya demokrasi amerika serikat jauh lebih maju dari indonesia rakyatnya tahu membedakan mana privat mana publik mereka faham penggunaan pesawat kepresidenan melekat lembaga kepresidenan menyangkut keselamatan pengamanan preside,0,0,0,0,0,0,0,0,0,0,0,0
orang punya saksi dikasus,1,1,1,0,0,0,0,0,1,1,0,0
saat tokoh yang bilang umat muslim negeri tertekan sebagai muslim saya melihat justru umat agama lain lebih tertekan jumlah paling besar justru bikin kita makin egois merasa punya lebih besar dibandingkan penganut agama lain,0,0,0,0,0,0,0,0,0,0,0,0
user nyanyiin nanti nyanyi lingsir wengi buat kamu,0,0,0,0,0,0,0,0,0,0,0,0
goblog,1,1,1,0,0,0,0,0,1,1,0,0
user ganti casing padahal nyatanya akusisi patungan dari beberapa bank nngilu banget dengar,0,0,0,0,0,0,0,0,0,0,0,0
dari sisi kesadaran gender tetangga sebelah jauh maju kerja istrinya suami ngurus anak secara ekonomi mayan mobil motor ninja bgmn lingkunganmu,0,0,0,0,0,0,0,0,0,0,0,0
kegiatan kanit binmas polsek singojuruh dalam rangka cipta kondisi aman kondusif jelang pilkadaklik disini,0,0,0,0,0,0,0,0,0,0,0,0
apasal rindu eeeee betul xfxfxxad,0,1,0,0,0,0,0,0,0,0,0,0
ahokers jokowers mereka semakin kesurupan rakus periode gantipresiden bergerak,1,1,0,1,0,0,0,0,1,0,1,0
koneksi bangsad,1,1,1,0,0,0,0,0,1,1,0,0
user drama drama sekarang ending kenapa pada bangke gini return misty belum nonton sampe ending tapi daxexxa,0,1,0,0,0,0,0,0,0,0,0,0
kamu dasar bajingangak bisa dipercaya omongannya,1,1,1,0,0,0,0,0,1,1,0,0
turut berduka atas meninggal song terima kasih sajangnim xfxfxxf xfxfxex user,0,0,0,0,0,0,0,0,0,0,0,0
user user ganti presiden endasmu atosjangan ngumbar hegoblog,1,1,1,0,0,0,1,0,0,1,0,0
user membangun industri iklim perikanan indonesia jauh lebih penting sulit dibanding meledakkan kapal,0,0,0,0,0,0,0,0,0,0,0,0
user males bacanya,1,1,1,0,0,0,0,0,1,1,0,0
user user user anak pemberontak layak jadi apaapa negeri,1,0,1,0,0,0,0,0,1,1,0,0
pengeras suara kali pertama digunakan pada zaman belanda masjid yang,0,0,0,0,0,0,0,0,0,0,0,0
detik juga membuktikannlu lelaki,1,1,1,0,0,0,0,0,1,1,0,0
twitritwit pdiperjuangan,0,0,0,0,0,0,0,0,0,0,0,0
user fadli zoon politik politik tapi harus tahulah bahwa nkri sejarahnya jangan dilupakan untuk kepenting pribadi atau biar jangan kaco negara kita iniyuk bela atau bantulah presiden jokowi untuk memakmurkan,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user user user user user user user user user user user user user user user user user,0,0,0,0,0,0,0,0,0,0,0,0
user user masalahnya urusan negara rumah tangga tidak bisa disamakan jelas jauh berbeda jadi jangan dibuat terlalu sederhana juga,0,0,0,0,0,0,0,0,0,0,0,0
user user user user setuju islam nusantara indonesia bbrp agama skalian buat kristen protestan nusantarabudha nusantarahindu nusantara agama lain nusantaranya biar seragam,0,0,0,0,0,0,0,0,0,0,0,0
bandung udah butuh event tiap weekend atau tiap tanggal merah macet bangsad,1,1,0,1,0,0,0,0,1,0,1,0
user presiden tuli makanya memimpin tubruktabrak denger rakyat teriak lengserkan jokowi,1,1,1,0,0,0,1,0,0,1,0,0
model bajunya mirip sama prabowo kenapaah gantipresiden tetapjokowi,0,0,0,0,0,0,0,0,0,0,0,0
user entah temen yang pinter gatau,0,1,0,0,0,0,0,0,0,0,0,0
user kena ingat tempat buat karipap dapur sana bukan tepi queen,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user maaf nihemang katolik nusantara,0,0,0,0,0,0,0,0,0,0,0,0
bising betul cina cina xfxfxx,1,1,0,1,0,1,0,0,0,0,1,0
timses pasangan calon pilgub jatim apresiasi debat kandidat,0,0,0,0,0,0,0,0,0,0,0,0
nama artis boleh retweet takkan nama yang indah boleh penunggang agama detected,0,0,0,0,0,0,0,0,0,0,0,0
user lupa dijenguk garagara asma dewi menang,1,0,1,0,0,0,0,0,1,1,0,0
user wong,1,1,1,0,0,0,0,0,1,1,0,0
jika bicara laptop dari china jika maksudnya adalah made china maka hampir laptop seluruh dunia berasal dari china,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user user user user user user user user user user user user user user penyebaran bahaya laten,0,0,0,0,0,0,0,0,0,0,0,0
umar khattab muslim sejati pembela rasullah islam khalifah teladan terdepan pengorbanannya mencintai rakyatnya fasih hapal quran sangat sederhana jujur tegas berwibawa sopo enaknya disamakan,0,0,0,0,0,0,0,0,0,0,0,0
setiap kritik jokowi pasti dianggap nyinyir kolamnnmau kritik lalu diujungnya dukung periodennlo kritik dukung artinya nyinyir haram begitu definisi kritik cebinndan nalarpun rusak parah,1,1,0,1,0,0,0,0,1,0,1,0
paling agendanya samatema boleh bedatujuan sama turunkan user diperalat politik kemasan agama,1,0,1,0,1,0,0,0,0,1,0,0
dulu para pahlawan berjuang susah payah korban jiwa raga usir penjajah ehskrg kita biarkan negeri dijajah cina mudahnya,1,0,0,1,0,1,0,0,0,0,1,0
semacam kejadian yang ramai pilkada yang lalu,0,0,0,0,0,0,0,0,0,0,0,0
user kapten kalian nangis dipertandingan terakhir gara gagal menang kapten kami saat pertandingan lawan kalian dxexxa,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user user user user user user user user user user user user user user user gausah dibalik,1,1,1,0,0,0,0,0,1,1,0,0
user user user ngerti inflasi ndak harus sarjana ekonomi untuk tahu dampak mencetak uang nambah uang beredar nyanyi wong lagi naksir peduli ndunyo inflasi,0,0,0,0,0,0,0,0,0,0,0,0
ihsg dibuka menguat poin atau,0,0,0,0,0,0,0,0,0,0,0,0
user user user user anies sandi bakal berani yakiinn,1,0,1,0,0,0,0,0,1,1,0,0
user user emang gitu sudah,1,1,1,0,0,0,0,0,1,1,0,0
masuk nteh daun jati cina xfxfxx packnhn double embos super xfxfxx paket kecil,0,0,0,0,0,0,0,0,0,0,0,0
user user hebat teriak cina,1,0,1,0,0,1,0,0,0,1,0,0
user user user user hahahaha terlalu keras brokita tetap hargai tetap ingin ganti presiden walaupun memilih prabowoyg penting kita fokus dukung prabowo,0,0,0,0,0,0,0,0,0,0,0,0
user nyatanya rakyat makin susah menteri daya beli hancur user tukang tipu,1,1,1,0,0,0,0,0,1,1,0,0
user kirain kamu,0,1,0,0,0,0,0,0,0,0,0,0
user ujan ngegodain tukan ojek pengkolan juga ngerojok kata abang drprd pusing ngga duit mending buang pxexxa,0,1,0,0,0,0,0,0,0,0,0,0
jatim anti hoax anti ujaran kebencian sara serta mendukung pilkada damai dari kary benowo surabaya,0,0,0,0,0,0,0,0,0,0,0,0
tweets seribu minang bukittinggi ranah bundokandung realm matriarchal thinkers user user cawapres presiden jokowi pilihan tweets seribu minang adalah,0,0,0,0,0,0,0,0,0,0,0,0
user ahok dulu nasdem disusul mendukung paslon penista agama tukang caci maki,1,1,0,1,0,0,0,0,1,0,1,0
tukang buruan pulang saya mandi kaya cantik,0,1,0,0,0,0,0,0,0,0,0,0
user orang kalo suruh baca biologi dulu paling cuma liat gambar doanggambar macan gambar bunga gambar organ tubuh hehe,0,0,0,0,0,0,0,0,0,0,0,0
erel,1,1,1,0,0,0,0,1,0,1,0,0
user sudahq tegaskan bahwa enakan rendang bukan aseng melainkan tagonis,0,0,0,0,0,0,0,0,0,0,0,0
user gitu paypal,1,1,0,1,0,0,0,0,1,0,1,0
tomohon juga merupakan pusat pembelajaran agama kristen katolik tempat khusus untuk berdoa meditasi yang disebut bukit kasih sebuah tempat suci yang indah tenang,0,0,0,0,0,0,0,0,0,0,0,0
ahok calonin gubernur siapsiap demo,1,0,1,0,0,0,0,0,1,1,0,0
syarat untuk menggunakan kudu tauk sedang dimainkan oleh lawan kudu tauk materi sedang dipergunakan oleh lawannnkitanya kudu lebih pinter gitu kudu selesaiin buku cerdas tangkas jilid,0,0,0,0,0,0,0,0,0,0,0,0
tahun masyarakat adat baduy menyerahkan hasil panennya kepada bupati lebak rawita gubernur banten wahidin halim sebabaduy,0,0,0,0,0,0,0,0,0,0,0,0
user enak buat,0,1,0,0,0,0,0,0,0,0,0,0
user gamau maho,0,1,0,0,0,0,0,0,0,0,0,0
user sudah tahu darat tapi masih saja ladeni lalu saat berpaling sebut brengsek sehat,0,1,0,0,0,0,0,0,0,0,0,0
user kesempatan langsung dimanfaatin buat pencitraaan oleh,0,0,0,0,0,0,0,0,0,0,0,0
user user user biarin bagus drpd bisa,0,1,0,0,0,0,0,0,0,0,0,0
user kenapa selalu kata memang membuat sesuatu jadi lebih baik buruk atau istimewa nggak pernah denger penulis budha penulis kristen penulis adanya penulis,0,0,0,0,0,0,0,0,0,0,0,0
user ayooo serbuuu persekusii nnhina presiden boleh ulama kyai said quraish shihab boleh rijik persekusi emang rijik nabi,1,0,1,0,0,0,0,0,1,1,0,0
perbedaan tidak menghalangi kami untuk berteman read kiri agama katolik islam budha vscocam,0,0,0,0,0,0,0,0,0,0,0,0
user baiklah esok lancarkan atom katil pkul make sure keluar bilik esok,0,0,0,0,0,0,0,0,0,0,0,0
user sebelah otak ngotot perusahaan suram indosat dibeli maklum hidup hanya nasbung,0,0,0,0,0,0,0,0,0,0,0,0
beliau memiliki kriteria untuk jadi presiden,0,0,0,0,0,0,0,0,0,0,0,0
user pecunio akan membawa kita lebih jauh arah tujuan kita untuk membentuk pasar keuangan masa depannpecunio,0,0,0,0,0,0,0,0,0,0,0,0
sumpah subjek,1,1,1,0,0,0,0,0,1,1,0,0
user jangan sama,1,1,1,0,0,0,0,1,0,1,0,0
merokok akan terlihat keren kalau asapnya keluar dari,0,1,0,0,0,0,0,0,0,0,0,0
mungkin jika presiden user hanya membangun jawa maka beliau tidak perlu diserang berbagai miring sudah menjadi kebiasaan tapi indonesia bukan hanya jawa saya setuju dengan user user user user user,0,0,0,0,0,0,0,0,0,0,0,0
user krna sosial publik sangat ketika seorg akan jujur diri sendiri publik spertinya lebih suka dibohongi,0,0,0,0,0,0,0,0,0,0,0,0
sebenarnya saat sedang mengalami dilema bagai buah simalakama ngajuin presiden sendiri bisa karena cuma punya suara lagipula tidak punya satupun kader yang baik populer dicintai rakyat yang punya peluang menang,0,0,0,0,0,0,0,0,0,0,0,0
selama sahamnya dikuasai oleh membuat pembangunan papua tertinggal jauh padahal freeport sudah banyak meraup keuntungan dari hasil mengeksplorasi kekayaan alam papua freeport,0,0,0,0,0,0,0,0,0,0,0,0
tanggapan anda terhadap narasumber satu,0,0,0,0,0,0,0,0,0,0,0,0
user user ulama tidak dikenal,0,0,0,0,0,0,0,0,0,0,0,0
user user kalo soal harga merasa kalo beli starbak mules,0,1,0,0,0,0,0,0,0,0,0,0
user user diingatkan hahhahah,0,1,0,0,0,0,0,0,0,0,0,0
keandra adalah sosok lelaki yang tertarik dengan kedua jenis gender juga mengakui keberadaan menganggap dirinya sebagai lelaki tapi juga beranggapan bahwa norma gender tidak sehingga sering bertingkah laku layaknya,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user besarbesar nanti jumawa menang kemaren kita samasama tahu gantipresiden,1,1,1,0,0,0,1,0,0,1,0,0
user user mulai kepanasan,1,0,0,1,0,1,0,0,0,0,1,0
mari siapsiap untuk bubarkan user,1,0,0,1,0,0,0,0,1,0,0,1
user user tolak bantuan aseng kata mereka,0,0,0,0,0,0,0,0,0,0,0,0
user bukan,0,0,0,0,0,0,0,0,0,0,0,0
user orangan mancam ente perlukan negeri gedongan gede dongo ngawur,1,1,1,0,0,0,0,0,1,1,0,0
user nama terdengar anna pikir sang dara hadapannya adalah penghuni baru habisnya kenal penampilan maafkan dirinya anna kobayakawa mathildasan anna kini,0,0,0,0,0,0,0,0,0,0,0,0
user makar omonganmu suka domba bawa nama islam agama pegangan hidup seseorang suci kamu lambemu ndoweh banyak,1,1,1,0,0,0,1,0,0,1,0,0
user sejahatjahat manusia ialah mereka yang suka mencari kesalahan kecelaan orang sebagaimana lalat mencari dari tempat yang busuk quranhour,0,0,0,0,0,0,0,0,0,0,0,0
user emang indosat,1,1,0,1,0,0,0,0,1,0,1,0
user enaknya sama hyper udah crot lanjut lagi xfxfxxa,0,1,0,0,0,0,0,0,0,0,0,0
user bisnis biarin pting ganti presiden amanah seswe janjigmgnya impor malah serba imporpetani negri sendiri gigit jari ampun,1,0,1,0,0,0,0,0,1,1,0,0
user wisma darulaman kerjaxcxb lebih politik laxfxfxx,1,1,0,1,0,0,0,1,0,0,1,0
user balik cepat,1,1,1,0,0,0,0,0,1,1,0,0
user mirip bener dengan cara dulu,0,0,0,0,0,0,0,0,0,0,0,0
cara memperluas pintu rezeki dakwah islam majelistaklim rezeki rejeki habaib habib ustadz ulama kyai pesantren tarim menikah jomblo,0,0,0,0,0,0,0,0,0,0,0,0
user maho,1,1,1,0,0,0,0,1,0,1,0,0
user bunda timun xfxfxxa user user,0,1,0,0,0,0,0,0,0,0,0,0
presiden minta proyek strategis nasional segera dirampungkan,0,0,0,0,0,0,0,0,0,0,0,0
user karna nganu sampe agamanya diragukan kalo menurutku kapir,1,1,1,0,1,0,0,0,0,1,0,0
user user agree that master samasekali bukan penghinaan hanya istilah tidak memiliki samasekali konotasi negatif dalam kata,0,0,0,0,0,0,0,0,0,0,0,0
user ngomong,0,1,0,0,0,0,0,0,0,0,0,0
presiden dihina kapolri menkumham mendikbud menhan janda anshor banser semua terdiam ajaib,1,0,0,1,0,0,0,0,1,0,1,0
user bidadari,0,0,0,0,0,0,0,0,0,0,0,0
user user user user user user kalau menangnya curang buat demokrasi jadi,0,0,0,0,0,0,0,0,0,0,0,0
user user hmmm saya mencium aroma aroma jablaynnpantes pergi,1,1,1,0,0,0,0,1,0,1,0,0
user donatur jadi korban niya jadi korban ntetapi korban dari kebiadabannya menipu orang yang umrohncxexxa,1,1,0,1,1,0,0,0,0,0,1,0
user user digoreng teori konspirasi islamofobia oleh yahudi aseng liberal kumunis,0,0,0,0,0,0,0,0,0,0,0,0
user jangan biarkan pemprov bekerja sendiri mari kita dukung ikut membantu pemprov dalam melawan cukong aseng para kita teguh pemprov bersama warga jakarta melawan cukong aseng para,1,0,0,1,0,0,0,0,1,0,1,0
dijualin,0,1,0,0,0,0,0,0,0,0,0,0
barangsiapa membunuh seorang muahid yang mendapatkan jaminan keamanan tanpa alasan yang maka tidak akan mencium wangi surga bahkan dari jarak empat puluh tahun perjalanan sekali,0,0,0,0,0,0,0,0,0,0,0,0
ajarkan muslim agama ngajarkan membunuh agar paham islam bukan agama ajaran sesat nyembah allah biadab,1,1,0,1,1,0,0,0,0,0,1,0
user user ingin mengaduk aduk jateng bisa kita pandai belajar pilkada jakarta,0,0,0,0,0,0,0,0,0,0,0,0
user user ngomongnya diatas bahas jawab level berdebat otaknyaxfxfxxe,1,1,1,0,0,0,0,0,1,1,0,0
darat sejati napa liat kaosnya lacoste sandalnya crocs celana kolornya crocodile benerkan,0,0,0,0,0,0,0,0,0,0,0,0
memang yaaasekolah katolik menurutku keluarga emang bagus makanya ortu dulu juga nyekolahin anak termasuk sekolah katolik nnmau masukin adek disitu tapi jurusan animasi maupun multimedia engga disitu nnbuka,0,0,0,0,0,0,0,0,0,0,0,0
ikut salah satu grup sejak lama isinya sekarang ulama masa depan bangsa dsbnnbegitu dukung jokowi nama grupnya ganti jadi komando ulama,0,0,0,0,0,0,0,0,0,0,0,0
hidup kena kerja keras jangan harap kena suap,0,1,0,0,0,0,0,0,0,0,0,0
user palestina aseng tohh,1,0,0,1,0,1,0,0,0,0,1,0
jokowi tidak hormat terhadap muslim terzalimi,1,0,1,0,1,0,0,0,0,1,0,0
user kenapa lucu beda sama yuta,0,1,0,0,0,0,0,0,0,0,0,0
dear gubernur user wagub user bisa datangkan wenger melatih user pasca beliau arsenal,0,0,0,0,0,0,0,0,0,0,0,0
gimana udah beda biasanya slalu adaa cerita konyol skrg xfxfxx,0,0,0,0,0,0,0,0,0,0,0,0
selepas tahun bersama arsenal arsene wenger mengesahkan akan tinggalkan club london akhir musim terima kasih wenger,0,0,0,0,0,0,0,0,0,0,0,0
user user mohon dapat dimaklumi kodok gampang meriang kurang oxigen kelamaan dicomberan,1,1,0,1,0,0,0,0,1,0,1,0
benar setya novanto nitip absen bener bener politisi koplak bikin malu wakil rakyatpecat,1,0,1,0,0,0,0,0,1,1,0,0
nalar yang sehat sekali lagi tidak akan berfikir jauh seburuk dengan menuduh ganjar pranowo sebab membaca puisi sebagai antiislam,0,0,0,0,0,0,0,0,0,0,0,0
user user user selamat datang,1,1,0,1,0,0,0,0,1,0,1,0
user user user dimas maho doyan pentil mimi peri,1,1,1,0,0,0,0,1,0,1,0,0
blokir jokowi mantap ternyata dunia maya menggambarkan tinggal realisasi dunia nyata lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
